human_rights_un_fri_sn_64kb_0001	Universele ferklearring fan de rjochten fan de minske
human_rights_un_fri_sn_64kb_0002	Universele ferklearring fan de rjochten fan de minske, proklamearre op 10desimber 1948 troch de Algemiene Gearkomste fan ’e Feriene Naasjes.
human_rights_un_fri_sn_64kb_0003	Pree-ambule
human_rights_un_fri_sn_64kb_0004	Yn betinken nommen dat it erkennen fan de ynherinte weardichheid en fan degelikense en ûnferfrjemdbere rjochten fan alle leden fan de minskemienskipgrûnslach is foar de frijheid, rjochtfeardigens en frede yn ’e wrâld;
human_rights_un_fri_sn_64kb_0005	Yn betinken nommen dat it oan ’e kant skowen en lytsachtsjen fan ’e rjochten fan
human_rights_un_fri_sn_64kb_0006	’e minske laat hawwe ta barbaarske dieden, dy’t it gewisse fan it minskdornfaksearre hawwe en dat de komst fan in wrâld dêr’t minsken frijheid fanmieningsutering en leauwe barre mei, en hja frij wêze sille fan eangst en ferlet,ferkundige is as it heechste ideaal fan elk minske;
human_rights_un_fri_sn_64kb_0007	Yn betinken nommen dat it fan it grutste belang is dat de rjochten fan de minskebeskerme wurde, troch de suppremaasje fan it rjocht, dat de minske net twongenwurde mei om yn lêste ynstânsje syn taflecht te nimmen ta opstân tsjin tyrannyen ûnderdrukking;
human_rights_un_fri_sn_64kb_0008	Yn betinken nommen dat it fan it grutste belang is de ûntjouwing fan freonskiplikebetrekkings tusken de naasjes fuort te sterkjen;
human_rights_un_fri_sn_64kb_0009	Yn betinken nommen dat de folken fan ’e Feriene Naasjes yn it Hânfest harbetrouwen yn ’e fûnemintele rjochten fan ’e minske, yn de weardichheid en dewearde fan ’e minske en yn de gelikense rjochten fan manlju en froulju op ’e nijbefestige hawwe, en besletten hawwe sosjale foarútgong en in hegerelibbensstandert yn grutter frijheid te befoarderjen;
human_rights_un_fri_sn_64kb_0010	Yn betinken nommen dat de steaten, dy’t lid binne fan ’e Feriene Naasjesplechtich tasein hawwe om yn gearwurking mei de organisaasjes fan ’e Feriene
human_rights_un_fri_sn_64kb_0011	Naasjes, rûnom de earbied foar en it ynachtnimmen fan ’e rjochten fan ’e minskeen de fûnemintele frijheid te befoarderjen;
human_rights_un_fri_sn_64kb_0012	Yn betinken nommen dat it fan it grutste belang is foar it folslein útfieren fan dyoerienkomst dat elkenien in goed begryp hat fan dy rjochten en frijheden;
human_rights_un_fri_sn_64kb_0013	Dêrom proklamearret de Algemiene Gearkomste dizze Universele Ferklearringfan de Rjochten fan de Minske as it mienskiplik troch alle folken en naasjes teberikken ideaal, mei it doel dat elk yndividu en elk orgaan fan ’e mienskip meidizze Ferklearring hieltyd foar eagen, der nei stribje sil om troch ûnderwiis enopfieding de earbied foar dy rjochten en frijheden te befoarderjen en trochfoarútstribjende maatregels, nasjonaal en ynternasjonaal, dy rjochten algemienen echt erkenne en tapasse te litten, likegoed ûnder de folken fan steaten dy’t lidfan ’e Feriene Naasjes binne, as ûnder de folken fan gebieten ûnder harjurisdiksje:
human_rights_un_fri_sn_64kb_0014	Kêst 1
human_rights_un_fri_sn_64kb_0015	Alle minsken wurde frij en gelyk yn weardigens en rjochten berne.
human_rights_un_fri_sn_64kb_0016	Hja hawweferstân en gewisse meikrigen en hearre har foar inoar oer yn in geast fanbruorskip te hâlden en te dragen.
human_rights_un_fri_sn_64kb_0017	Kêst 2
human_rights_un_fri_sn_64kb_0018	Elk hat oanspraak op alle rjochten en frijheden yn dizze Ferklearring opneamd,sûnder hokker ûnderskie ek mar lykas ras, kleur, slachte, taal, godstsjinst,politike of oare oertsjûging, nasjonaal of maatskiplik komôf, eigendom, berte ofoare status.
human_rights_un_fri_sn_64kb_0019	Fierder sil gjin ûnderskie makke wurde nei politike, juridyske of ynternasjonalestatus fan it lân of gebiet, dêr’t immen ta heart, likefolle as it om in ûnôfhinklik,trust- of net selsbestjoerend gebiet giet of as der in oare beheining fan ’esûvereiniteit bestiet.
human_rights_un_fri_sn_64kb_0020	Kêst 3
human_rights_un_fri_sn_64kb_0021	Elk hat rjocht op libben, frijheid en ûnskeinberens fan syn persoan.
human_rights_un_fri_sn_64kb_0022	Kêst 4
human_rights_un_fri_sn_64kb_0023	Nimmen sil yn slavemij of hearrigens hâlden wurde.
human_rights_un_fri_sn_64kb_0024	Slavernij en slavehannel ynelke foarm binne ferbean.
human_rights_un_fri_sn_64kb_0025	Kêst 5
human_rights_un_fri_sn_64kb_0026	Nimmen sil ûnderwurpen wurde oan folteringen, noch oan in wrede, ûnminslikeof ûntearjende behanneling of bestraffing.
human_rights_un_fri_sn_64kb_0027	Kêst 6
human_rights_un_fri_sn_64kb_0028	Elk hat, wêr’t er ek is, it rjocht om as persoan erkend te wurden foar de wet.
human_rights_un_fri_sn_64kb_0029	Kêst 7
