human_rights_un_jpn_k_64kb_0001	『世界人権宣言』
human_rights_un_jpn_k_64kb_0002	（1948.
human_rights_un_jpn_k_64kb_0003	12.
human_rights_un_jpn_k_64kb_0004	10 第３回国連総会採択）
human_rights_un_jpn_k_64kb_0005	〈前文〉
human_rights_un_jpn_k_64kb_0006	人類社会のすべての構成員の固有の尊厳と平等で譲ることのできない権利とを承認することは、世界における自由、正義及び平和の基礎であるので、
human_rights_un_jpn_k_64kb_0007	人権の無視及び軽侮が、人類の良心を踏みにじった野蛮行為をもたらし、言論及び信仰の自由が受けられ、恐怖及び欠乏のない世界の到来が、一般の人々の最高の願望として宣言されたので、
human_rights_un_jpn_k_64kb_0008	人間が専制と圧迫とに対する最後の手段として反逆に訴えることがないようにするためには、法の支配によって人権を保護することが肝要であるので、
human_rights_un_jpn_k_64kb_0009	諸国間の友好関係の発展を促進することが肝要であるので、国際連合の諸国民は、国連憲章において、基本的人権、人間の尊厳及び価値並びに男女の同権についての信念を再確認し、かつ、一層大きな自由のうちで社会的進歩と生活水準の向上とを促進することを決意したので、
human_rights_un_jpn_k_64kb_0010	加盟国は、国際連合と協力して、人権及び基本的自由の普遍的な尊重及び遵守の促進を達成することを誓約したので、
human_rights_un_jpn_k_64kb_0011	これらの権利及び自由に対する共通の理解は、この誓約を完全にするためにもっとも重要であるので、
human_rights_un_jpn_k_64kb_0012	よって、ここに、国連総会は、
human_rights_un_jpn_k_64kb_0013	社会の各個人及び各機関が、この世界人権宣言を常に念頭に置きながら、加盟国自身の人民の間にも、また、加盟国の管轄下にある地域の人民の間にも、これらの権利と自由との尊重を指導及び教育によって促進すること並びにそれらの普遍的措置によって確保することに努力するように、すべての人民とすべての国とが達成すべき共通の基準として、この人権宣言を公布する。
human_rights_un_jpn_k_64kb_0014	第１条
human_rights_un_jpn_k_64kb_0015	すべての人間は、生まれながらにして自由であり、かつ、尊厳と権利とについて平等である。
human_rights_un_jpn_k_64kb_0016	人間は、理性と良心とを授けられており、互いに同胞の精神をもって行動しなければならない。
human_rights_un_jpn_k_64kb_0017	第２条
human_rights_un_jpn_k_64kb_0018	すべて人は、人種、皮膚の色、性、言語、宗教、政治上その他の意見、国民的もしくは社会的出身、財産、門地その他の地位又はこれに類するいかなる自由による差別をも受けることなく、この宣言に掲げるすべての権利と自由とを享有することができる。
human_rights_un_jpn_k_64kb_0019	さらに、個人の属する国又は地域が独立国であると、信託統治地域であると、非自治地域であると、又は他のなんらかの主権制限の下にあるとを問わず、その国又は地域の政治上、管轄上又は国際上の地位に基ずくいかなる差別もしてはならない。
human_rights_un_jpn_k_64kb_0020	第３条
human_rights_un_jpn_k_64kb_0021	すべての人は、生命、自由及び身体の安全に対する権利を有する。
human_rights_un_jpn_k_64kb_0022	第４条
human_rights_un_jpn_k_64kb_0023	何人も、奴隷にされ、又は苦役に服することはない。
human_rights_un_jpn_k_64kb_0024	奴隷制度及び奴隷売買は、いかなる形においても禁止する。
human_rights_un_jpn_k_64kb_0025	第５条
human_rights_un_jpn_k_64kb_0026	何人も、拷問又は残虐な、非人道的なもしくは屈辱的な取扱もしくは刑罰を受けることはない。
human_rights_un_jpn_k_64kb_0027	第６条
human_rights_un_jpn_k_64kb_0028	すべての人は、いかなる場所においても、法の下において、人として認められる権利を有する。
human_rights_un_jpn_k_64kb_0029	第７条
human_rights_un_jpn_k_64kb_0030	すべての人は、法の下において平等であり、また、いかなる差別もなしに法の平等な保護を受ける権利を有する。
human_rights_un_jpn_k_64kb_0031	すべての人は、この宣言に違反するいかなる差別に対しても、また、そのような差別をそそのかすいかなる行為に対しても、平等な保護を受ける権利を有する。
human_rights_un_jpn_k_64kb_0032	第８条
